location,totaltweets,retweetcount,hashtags,date,Clean Text,Sentiment
"Stevns, Danmark",1145,16,['dkpol'],2021-08-19 08:59:20,generation identitær påstod forleden i information  at den danske befolkning bliver udskiftet af udlændinge  problemet er bare  at teorien ikke har hold i fakta  ,0.0
⚜️🇩🇰Denmark~Copenhagen Area,32740,0,['dkpol'],2021-08-19 08:58:27,  når stat modtager flygtninger bærer den et stort ansvar  ansvar for egne borgere der arbejder for at fylde statskassen og lønne politikerne   regnskabet kunde gå op  hvis  stopper bistand til afganistan og pakistan        x   familiesammenført   ,0.0
Danmark,23044,0,['dkpol'],2021-08-19 08:58:05,lige nu er  populær på  ,3.0
Denmark,27829,0,['dkpol'],2021-08-19 08:57:39,  og  kan fortsat ikke blive enige  politikerne har hovederne begravet i afghanistankonflikten  og sygeplejerskerne har svært ved at få taletid i medierne  dækningen er ramt af en træthedskultur  skriver    ,-3.0
"Aarhus, Danmark",838,9,"['croptop', 'dkmedier', 'dkpol']",2021-08-19 08:57:06,forbud mod croptops = negativ social kontrol  unge kvinder skal ikke udskammes for at klæde sig som de vil  de skal ikke tage ansvar for mænd og drenges gammeldags moral og manglende koncentrationsevne    ,-4.0
Danmark,3780,1,"['dkgreen', 'adios', 'dkpol']",2021-08-19 08:56:39,på tide at sige farvel til tågehorn som   skriver politiken vi bør som journalister nok behandle klimaskeptikere lidt  som vi gør med vaccineskeptikere og folk  der påstår  at  gnetværk er statslig masseovervågning     ,0.0
"København, Danmark",29296,4,"['dkmedier', 'dkpol', 'metoo']",2021-08-19 08:55:10,i en intern mail til medlemmer af  lyver  om anklagerne mod naser khader  i januar blev pape kontaktet af hayat faizi  han svarede ikke  nu påstår han at han kun havde hørt rygter  har nogen fra  spurgt til det    ,3.0
"Rødovre, Danmark",6537,1,"['dkpol', 'dkgreen', 'dkskat']",2021-08-19 08:53:07,        grønne biler på de danske veje  og en tredjedel af alle nyregistrerede biler er nu grønne  det glæder skatteminister     ,3.0
Danmark,4885,0,"['dktrp', 'dkpol', 'dkgreen']",2021-08-19 08:52:57, og reintegrate skal levere emetanol til mærsks første klimaneutrale skib     ,0.0
,50,43,"['ftlive', 'dkpol']",2021-08-19 08:51:32,enhedslisten vil ikke afvise en skat på    for de rigeste i danmark  hvis staten havde brug for pengene   det er jo bare demokrati   siger peder hvelplund    nej  det ville tyranni at opkræve    i skat hos borgerne   ,-2.0
Danmark,7926,4,"['dkmedier', 'dkpol']",2021-08-19 08:49:51,hørt    har sagt det samme i årevis  der er ik   sider til årsag  omfang og hast  og den misforståelse hos  må simpelthen stoppe nu   nu handler det om løsninger og her er dansegulvet åbent for alle der kan &amp; vil løse opgaven    ,-1.0
,7349,1,"['dkpol', 'dkbiz']",2021-08-19 08:49:06,unfair juletræskonkurrence  er julen i fare   har historien om særlig branche  der er i oprør   ,-4.0
Kirke Helsinge Strand,141,3,[],2021-08-19 08:48:39,så dejlig en dag med officiel åbning af  i kalundborg  som bød på musik fra simon  og borgmester  som bød velkommen og indviede med et særligt kalundborghurra       for super modtagelse til alle  kommunalbestyrelsen og forvaltningen   ,8.0
"København, Danmark",294,27,['dkpol'],2021-08-19 08:48:06,vi er enige om at tine bramsen og jeppe kofoed er nødt til at udtræde af regeringen  ikke  ,1.0
